"Path","Exists","BlobHash","SizeBytes","FileName","BackupStyle","BackupReason","ProjectIncluded","TextReferenced","ReferenceEvidence","DuplicateCount","CanonicalPath","Classification","ProposedAction"
"Accounts/Reports/01-Revenue Sale Vat Report Summary.rpt","True","86554de6c00233a0180b1df19896051f21a86068","80896","01-Revenue Sale Vat Report Summary.rpt","False","","False","False","","1","","No static reference found; retained because reports are loaded dynamically","Retain"
"Accounts/Reports/Account Activity Repor.rpt","True","9211c791965ff278f59ad2daa858f67e580925ca","1604608","Account Activity Repor.rpt","False","","False","False","","1","","No static reference found; retained because reports are loaded dynamically","Retain"
"Accounts/Reports/Account Activity Report Error.rpt","True","c2a14e3e8b577bf8a110c23043b989183ab47281","1609728","Account Activity Report Error.rpt","False","","False","False","","1","","No static reference found; retained because reports are loaded dynamically","Retain"
"Accounts/Reports/Account Activity Report New.rpt","True","f35e50ec89bf9368890bd7b36e1a6ed10ea64cb5","1621504","Account Activity Report New.rpt","False","","False","False","","1","","No static reference found; retained because reports are loaded dynamically","Retain"
"Accounts/Reports/Account Activity Report New2.rpt","True","3674c6feb23627d1057161760377334e69862931","1609216","Account Activity Report New2.rpt","False","","False","False","","1","","No static reference found; retained because reports are loaded dynamically","Retain"
"Accounts/Reports/Account Activity Report Old Ok.rpt","True","8b7827d30c90b9b06f96b434869b97ded3e3cde8","1704448","Account Activity Report Old Ok.rpt","False","","False","False","","1","","No static reference found; retained because reports are loaded dynamically","Retain"
"Accounts/Reports/Account Activity Report Orig New.rpt","True","db3356ac71394072a285691eb8417487e47f4935","1608704","Account Activity Report Orig New.rpt","False","","False","False","","1","","No static reference found; retained because reports are loaded dynamically","Retain"
"Accounts/Reports/Account Activity Report Orig.rpt","True","90ffe156b1056c33aa0706c4b1403f387ec1b245","1608704","Account Activity Report Orig.rpt","False","","False","False","","1","","No static reference found; retained because reports are loaded dynamically","Retain"
"Accounts/Reports/Account Activity Report Original.rpt","True","007190a79399727132b6e07cc8297709062ff8be","1604096","Account Activity Report Original.rpt","True","Archive-style filename","False","False","","1","","Archive-style filename retained pending runtime validation","Retain"
"Accounts/Reports/Account Activity Report Per Employee.rpt","True","d681e062fe1ec06ba8f9dc88ab0ff2f3aced9e68","1611776","Account Activity Report Per Employee.rpt","False","","False","False","","1","","No static reference found; retained because reports are loaded dynamically","Retain"
"Accounts/Reports/Account Activity Report Test.rpt","True","07a7cae0c43b2bc1f29d16c3d60aa95a2b01f9c2","1610752","Account Activity Report Test.rpt","True","Archive-style filename","False","False","","1","","Archive-style filename retained pending runtime validation","Retain"
"Accounts/Reports/Account Activity Report Test2.rpt","True","8df47c1a66c670c37a20e52f714cc35091aadee8","1608192","Account Activity Report Test2.rpt","True","Archive-style filename","False","False","","1","","Archive-style filename retained pending runtime validation","Retain"
"Accounts/Reports/Account Activity Report.rpt","True","055845a73fe599353963f55b3efd88c0a288da8b","1604096","Account Activity Report.rpt","False","","True","True","Accounts/Reports/Account Activity Report.vb:30; Accounts/PresentationLayer/Views/Forms/Reports/AccountActivity.vb:79; Accounts/Accounts.vbproj:1578; Accounts/Accounts.vbproj:2518","1","","Protected by static or project reference","Retain"
"Accounts/Reports/Account Activity Report2.rpt","True","d774964e5f9235ff060f27c6c2dd315dd36e363d","1608704","Account Activity Report2.rpt","False","","False","False","","1","","No static reference found; retained because reports are loaded dynamically","Retain"
"Accounts/Reports/Account Reconciliation Report (No Error no Arabic).rpt","True","4f0bb192522f6e1035f09786f6f19b86b1cde6be","489472","Account Reconciliation Report (No Error no Arabic).rpt","False","","False","False","","1","","No static reference found; retained because reports are loaded dynamically","Retain"
