"Path","BlobHash","SizeBytes","DuplicateCount","CanonicalPath","Classification","ProposedAction","ProjectIncluded","TextReferenced"
"Accounts/Reports/IGroup/Reports/Backup/ClinicDailyReceptionInvoice (2).rpt","84893737b128216398a919c272ad5c2c595c81a7","54272","1","","Unreferenced report in explicit archive directory","QuarantineBackupVariant","False","False"
"Accounts/Reports/IGroup/Reports/Backup/ClinicDailyReceptionInvoice.rpt","830ce4560bd9f13786f37a8535e7edff8e44d73a","55296","1","","Unreferenced report in explicit archive directory","QuarantineBackupVariant","False","False"
"Accounts/Reports/IGroup/Reports/Backup/ClinicDoctorWiseTimeFrame (2).rpt","f894d150ce47957e0728725582349be1396b86c6","52224","1","","Unreferenced report in explicit archive directory","QuarantineBackupVariant","False","False"
"Accounts/Reports/IGroup/Reports/Backup/ClinicReceptionCollection.rpt","2bd2983a00d93bc09eb4516f72e3553313486653","126464","1","","Unreferenced report in explicit archive directory","QuarantineBackupVariant","False","False"
"Accounts/Reports/IGroup/Reports/Backup/CombinedReportDateWise (2).rpt","bbf5c8db98e8175b6c52705fa1cd0dc2a3bde20f","52224","1","","Unreferenced report in explicit archive directory","QuarantineBackupVariant","False","False"
"Accounts/Reports/IGroup/Reports/Backup/CombinedSummaryStatementDateWise (2).rpt","726e7cfc2b9777b72542b1b1d6d908cb89b3580b","54272","1","","Unreferenced report in explicit archive directory","QuarantineBackupVariant","False","False"
"Accounts/Reports/IGroup/Reports/Backup/CombinedSummaryStatementDateWise Orig.rpt","7f0b71124390df1b19af9d13d8633ceb5fb28cea","51200","1","","Unreferenced report in explicit archive directory","QuarantineBackupVariant","False","False"
"Accounts/Reports/IGroup/Reports/Backup/CreditCoMonthlySubmission (2).rpt","cd6f34cd4ab2269639f289afbc4b648a02884743","52736","1","","Unreferenced report in explicit archive directory","QuarantineBackupVariant","False","False"
"Accounts/Reports/IGroup/Reports/Backup/CreditCoMonthlySubmission.rpt","aeb966615cd02b4e1d294322516a744a82bca67b","52224","1","","Unreferenced report in explicit archive directory","QuarantineBackupVariant","False","False"
"Accounts/Reports/IGroup/Reports/Backup/CreditCoMonthlySubmission01.rpt","83c6620be0a0113187b920f0f33a61bffdded885","52224","1","","Unreferenced report in explicit archive directory","QuarantineBackupVariant","False","False"
