"SourcePath","BlobHash","SizeBytes","AccountsCopies","QuarantinePath","Reason"
"IGroup/Reports/09-Clinic Total Purchases Report (AP) New Arabic.rpt","01f2380f4aae28ae3551a19980c6065bc969d72c","834560","Accounts/Reports/IGroup/Reports/09-Clinic Total Purchases Report (AP) New Arabic.rpt","_Quarantine/CrystalReports_CrossRoot_2026-08-11/ExactDuplicates/IGroup/Reports/09-Clinic Total Purchases Report (AP) New Arabic.rpt","Exact copy exists under the configured Accounts/Reports/IGroup runtime tree"
"IGroup/Reports/4thQtrPurchase.rpt","2bb6b864d170be4d37e631bcd5706e96a6899fb9","833536","Accounts/Reports/IGroup/Reports/4thQtrPurchase.rpt","_Quarantine/CrystalReports_CrossRoot_2026-08-11/ExactDuplicates/IGroup/Reports/4thQtrPurchase.rpt","Exact copy exists under the configured Accounts/Reports/IGroup runtime tree"
"IGroup/Reports/AccBalanceSheet.rpt","43432b86b74c9d3c9460cd2644a3071050ad5de3","49664","Accounts/Reports/IGroup/Reports/AccBalanceSheet.rpt","_Quarantine/CrystalReports_CrossRoot_2026-08-11/ExactDuplicates/IGroup/Reports/AccBalanceSheet.rpt","Exact copy exists under the configured Accounts/Reports/IGroup runtime tree"
"IGroup/Reports/Accounts/Balance Sheet Arabic Monthly.rpt","eebd7575ab20af76a93604724330c03cef92dc5b","1288192","Accounts/Reports/IGroup/Reports/Accounts/Balance Sheet Arabic Monthly.rpt","_Quarantine/CrystalReports_CrossRoot_2026-08-11/ExactDuplicates/IGroup/Reports/Accounts/Balance Sheet Arabic Monthly.rpt","Exact copy exists under the configured Accounts/Reports/IGroup runtime tree"
"IGroup/Reports/Accounts/Balance Sheet Arabic Yearly.rpt","2833b3b154d2dcc8fb975423c3116f8f79328748","1373696","Accounts/Reports/IGroup/Reports/Accounts/Balance Sheet Arabic Yearly.rpt","_Quarantine/CrystalReports_CrossRoot_2026-08-11/ExactDuplicates/IGroup/Reports/Accounts/Balance Sheet Arabic Yearly.rpt","Exact copy exists under the configured Accounts/Reports/IGroup runtime tree"
"IGroup/Reports/Accounts/Cash Disbursement Journal.rpt","66f75a353ff378d806972686dd9fba9d13001b2a","825856","Accounts/Reports/IGroup/Reports/Accounts/Cash Disbursement Journal.rpt","_Quarantine/CrystalReports_CrossRoot_2026-08-11/ExactDuplicates/IGroup/Reports/Accounts/Cash Disbursement Journal.rpt","Exact copy exists under the configured Accounts/Reports/IGroup runtime tree"
"IGroup/Reports/Accounts/General Journal.rpt","dbaf5caee1b9e48acbc418f7a9c121b8aa5005b9","825856","Accounts/Reports/IGroup/Reports/Accounts/General Journal.rpt","_Quarantine/CrystalReports_CrossRoot_2026-08-11/ExactDuplicates/IGroup/Reports/Accounts/General Journal.rpt","Exact copy exists under the configured Accounts/Reports/IGroup runtime tree"
"IGroup/Reports/Accounts/Income Statement Arabic Monthly.rpt","8e065b171366ccb23e28e179a8bf7c458480a610","861184","Accounts/Reports/IGroup/Reports/Accounts/Income Statement Arabic Monthly.rpt","_Quarantine/CrystalReports_CrossRoot_2026-08-11/ExactDuplicates/IGroup/Reports/Accounts/Income Statement Arabic Monthly.rpt","Exact copy exists under the configured Accounts/Reports/IGroup runtime tree"
"IGroup/Reports/Accounts/Income Statement Arabic Yearly.rpt","2b1f4a14008524b99a28cec0e67cc3871084d4f0","1015808","Accounts/Reports/IGroup/Reports/Accounts/Income Statement Arabic Yearly.rpt","_Quarantine/CrystalReports_CrossRoot_2026-08-11/ExactDuplicates/IGroup/Reports/Accounts/Income Statement Arabic Yearly.rpt","Exact copy exists under the configured Accounts/Reports/IGroup runtime tree"
"IGroup/Reports/Accounts/Income Statement Arabic.rpt","0432d026bafdfa413ee9c866c68e9cb42907fb12","1031680","Accounts/Reports/IGroup/Reports/Accounts/Income Statement Arabic.rpt","_Quarantine/CrystalReports_CrossRoot_2026-08-11/ExactDuplicates/IGroup/Reports/Accounts/Income Statement Arabic.rpt","Exact copy exists under the configured Accounts/Reports/IGroup runtime tree"
