"Path","BlobHash","SizeBytes","FileName","DuplicateFileNameCount","Classification","ProposedAction"
"Accounts/Reports/IGroup/BarcodePharmacyOkZebra.rpt","5c556871ce93fbdd558a5ed50cd4f9fd04e30aef","15872","BarcodePharmacyOkZebra.rpt","1","Unused: no project, source/config, or Report-table reference","QuarantineUnused"
"Accounts/Reports/IGroup/BarcodePharmacyx.rpt","a6bc6ca0499f6c06301caf45bd49a360d82f48e8","15872","BarcodePharmacyx.rpt","1","Unused: no project, source/config, or Report-table reference","QuarantineUnused"
"Accounts/Reports/IGroup/Cash Income Summary Per Month Per Service Per Doctor Per Cash Company Test.rpt","45d026ba3b98c2066ce37b9b7793bf820ba24a09","61440","Cash Income Summary Per Month Per Service Per Doctor Per Cash Company Test.rpt","1","Unused: no project, source/config, or Report-table reference","QuarantineUnused"
"Accounts/Reports/IGroup/Cash Income Summary Per Month Per Service Per Doctor Per Cash Company.rpt","4b488f318ac1509ca9d41140ff68718128f9ad45","59392","Cash Income Summary Per Month Per Service Per Doctor Per Cash Company.rpt","1","Unused: no project, source/config, or Report-table reference","QuarantineUnused"
"Accounts/Reports/IGroup/Cash Income Summary Per Month Per Service Per Doctor Per Month.rpt","71d181cc33cb96a299f2b39e0328c96651282720","58880","Cash Income Summary Per Month Per Service Per Doctor Per Month.rpt","1","Unused: no project, source/config, or Report-table reference","QuarantineUnused"
"Accounts/Reports/IGroup/Cash Income Summary Per Month Per Service Per Selected Doctor Per Month.rpt","9c73e2861ab123078dd7ba1ddab045dd248df8db","58880","Cash Income Summary Per Month Per Service Per Selected Doctor Per Month.rpt","1","Unused: no project, source/config, or Report-table reference","QuarantineUnused"
"Accounts/Reports/IGroup/Cash Income Summary Per Month Per Service Per Selected Doctor Per Year.rpt","8375f9873c7f2d34ee5a6922e19a2f03d1a40cdc","58880","Cash Income Summary Per Month Per Service Per Selected Doctor Per Year.rpt","1","Unused: no project, source/config, or Report-table reference","QuarantineUnused"
"Accounts/Reports/IGroup/Cash Income Summary Per Supplies Consumption Per Service Per Doctor.rpt","a0adf97b663fd4eb022d8896740675831439dd43","60928","Cash Income Summary Per Supplies Consumption Per Service Per Doctor.rpt","1","Unused: no project, source/config, or Report-table reference","QuarantineUnused"
"Accounts/Reports/IGroup/Cash Income Summary Per Supplies Consumpton Per Service Per Doctor.rpt","6b48f4e3d300a734a523cde131916d318e5247c0","60928","Cash Income Summary Per Supplies Consumpton Per Service Per Doctor.rpt","1","Unused: no project, source/config, or Report-table reference","QuarantineUnused"
"Accounts/Reports/IGroup/Cash Revenue Sale Vat and Revenue Posting Summary.rpt","b7203c397b11ba47bcf5b5c4e0b21fac959d72ec","97280","Cash Revenue Sale Vat and Revenue Posting Summary.rpt","1","Unused: no project, source/config, or Report-table reference","QuarantineUnused"
