"SourceTable","IdNo","Active","DatabaseName","ReportCode","ReportFileName","ReportName"
"Report","53","0","IGROUPCLINIC","53","AccBalanceSheet","AccBalanceSheet"
"Report","55","1","IGROUPCLINIC","55","AccLedgerSummary","AccLedgerSummary"
"Report","42","1","IGROUPCLINIC","42","AccountsGroupList","AccountsGroupList"
"Report","52","0","IGROUPCLINIC","52","AccountsIncomeExpenses","AccountsIncomeExpenses"
"Report","43","1","IGROUPCLINIC","43","AccountsJournal","AccountsJournal"
"Report","44","1","IGROUPCLINIC","44","AccountsJournal","AccountsJournal"
"Report","45","1","IGROUPCLINIC","45","AccountsJournal","AccountsJournal"
"Report","46","1","IGROUPCLINIC","46","AccountsJournal","AccountsJournal"
"Report","47","1","IGROUPCLINIC","47","AccountsJournal","AccountsJournal"
"Report","48","1","IGROUPCLINIC","48","AccountsJournal","AccountsJournal"
"Report","49","1","IGROUPCLINIC","49","AccountsJournal","AccountsJournal"
"Report","3","1","IGROUPCLINIC","3","AccountsLedger","AccountsLedger"
"Report","51","1","IGROUPCLINIC","51","AccountsLedger","AccountsLedger"
"Report","4","1","IGROUPCLINIC","4","AccountsPnL","AccountsPnL"
"Report","50","0","IGROUPCLINIC","50","ACCTrialBalanceNew","ACCTrialBalanceNew"
"Report","56","1","IGROUPCLINIC","56","AgeingSummary","AgeingSummary"
"Report","5","0","IGROUPCLINIC","5","BestInventoryReport","BestInventoryReport"
"Report","6","0","IGROUPCLINIC","6","BestQtySoldPieGraph","BestQtySoldPieGraph"
"Report","149","1","IGROUPCLINIC","126","Cash Income Summary Per Month Per Service Per Doctor","Cash Income Summary Per Month Per Service Per Doctor Excluding Vat"
"Report","344","1","Kizen","219","Cash Posting Summary","Cash Posting Summary"
"Report","83","0","IGROUPCLINIC","83","ClinicCreditStatement","ClinicCreditStatement"
"Report","66","0","IGROUPCLINIC","66","ClinicDailyCreditInvoice","ClinicDailyCreditInvoice"
"Report","57","0","IGROUPCLINIC","57","ClinicDailyReceptionInvoice","ClinicDailyReceptionInvoice"
"Report","58","0","IGROUPCLINIC","58","ClinicDailyReceptionInvoice","ClinicDailyReceptionInvoice"
"Report","70","0","IGROUPCLINIC","70","ClinicDailyReceptionInvoice","ClinicDailyReceptionInvoice"
"Report","71","0","IGROUPCLINIC","71","ClinicDailyReceptionInvoice","ClinicDailyReceptionInvoice"
"Report","84","0","IGROUPCLINIC","84","ClinicDailyReceptionInvoice","ClinicDailyReceptionInvoice"
"Report","85","0","IGROUPCLINIC","85","ClinicDailyReceptionInvoice","ClinicDailyReceptionInvoice"
"Report","86","0","IGROUPCLINIC","86","ClinicDailyReceptionInvoice","ClinicDailyReceptionInvoice"
"Report","54","0","IGROUPCLINIC","54","ClinicDailyReceptionInvoiceSummary","ClinicDailyReceptionInvoiceSummary"
"Report","62","0","IGROUPCLINIC","62","ClinicDailyReceptionUserWise","ClinicDailyReceptionUserWise"
"Report","72","0","IGROUPCLINIC","72","ClinicDailyReceptionUserWise","ClinicDailyReceptionUserWise"
"Report","73","0","IGROUPCLINIC","73","ClinicDailyReceptionUserWise","ClinicDailyReceptionUserWise"
"Report","87","0","IGROUPCLINIC","87","ClinicDailyReceptionUserWise","ClinicDailyReceptionUserWise"
"Report","97","0","IGROUPCLINIC","97","ClinicDailyReceptionUserWise","ClinicDailyReceptionUserWise"
"Report","82","0","IGROUPCLINIC","82","ClinicDateWiseVATStatement","ClinicDateWiseVATStatement"
"Report","68","0","IGROUPCLINIC","68","ClinicDeductableStatement","ClinicDeductableStatement"
"Report","69","0","IGROUPCLINIC","69","ClinicDeductableStatementSummary","ClinicDeductableStatementSummary"
"Report","61","0","IGROUPCLINIC","61","ClinicDoctorWiseTimeFrame","ClinicDoctorWiseTimeFrame"
"Report","74","0","IGROUPCLINIC","74","ClinicIBCombinedUserWiseDetailedStatement","ClinicIBCombinedUserWiseDetailedStatement"
"Report","81","0","IGROUPCLINIC","81","ClinicInvoiceWiseVATSummaryStatement","ClinicInvoiceWiseVATSummaryStatement"
"Report","76","0","IGROUPCLINIC","76","ClinicReportUserWiseTotal","ClinicReportUserWiseTotal"
"Report","77","0","IGROUPCLINIC","77","ClinicReportUserWiseTotal","ClinicReportUserWiseTotal"
"Report","88","0","IGROUPCLINIC","88","ClinicReportUserWiseTotal","ClinicReportUserWiseTotal"
"Report","65","0","IGROUPCLINIC","65","ClinicServiceWiseSalesHistory","ClinicServiceWiseSalesHistory"
"Report","98","0","IGROUPCLINIC","98","ClinicServiceWiseSalesHistory","ClinicServiceWiseSalesHistory"
"Report","63","1","IGROUPCLINIC","63","CombinedReportDateWise","CombinedReportDateWise"
"Report","60","0","IGROUPCLINIC","60","CombinedSummaryStatementDateWise","CombinedSummaryStatementDateWise"
"Report","106","1","IGROUPCLINIC","106","CompanyCreditInvoiceSummaryList","CreditCoMonthlySubmissionSummary"
"Report","196","1","IGROUPCLINIC","134","CompanyMonthlyInvoiceNew","Company Monthly Invoice"
"Report","111","1","IGROUPCLINIC","111","CompanyStatement","CompanyStatement"
"Report","114","1","IGROUPCLINIC","114","CompanyStatementDateWise","CompanyStatementDateWise"
"Report","7","0","IGROUPCLINIC","7","CompanyStatementDateWise","CompanyStatementDateWise"
"Report","351","1","KIZEN","219","Comparative Credit Company Invoice Summary Per Month.rpt","Comparative Credit Company Invoice Summary Per Month.rpt"
