"Path","QuarantinePath","BlobHash","SizeBytes","SelectedRoot","Reason"
"ImageResizer/ImageResizer/ImageResizer/ImageResizer.sln","_Quarantine/UnusedProjects_2026-08-11/Files/ImageResizer/ImageResizer/ImageResizer/ImageResizer.sln","8eaf167d08b45bcf95f5ae41876ba58299cc4ad5","878","ImageResizer","Deeply nested standalone sample utility with its own solution."
"ImageResizer/ImageResizer/ImageResizer/ImageResizer/ImageResizer.cs","_Quarantine/UnusedProjects_2026-08-11/Files/ImageResizer/ImageResizer/ImageResizer/ImageResizer/ImageResizer.cs","19bc370b9d4e14a8d223998c559ebfb27b2d3fd3","4389","ImageResizer","Deeply nested standalone sample utility with its own solution."
"ImageResizer/ImageResizer/ImageResizer/ImageResizer/ImageResizer.csproj","_Quarantine/UnusedProjects_2026-08-11/Files/ImageResizer/ImageResizer/ImageResizer/ImageResizer/ImageResizer.csproj","694b967fff0847fbdd790200872fa140ecb8f20d","2532","ImageResizer","Deeply nested standalone sample utility with its own solution."
"ImageResizer/ImageResizer/ImageResizer/ImageResizer/Program.cs","_Quarantine/UnusedProjects_2026-08-11/Files/ImageResizer/ImageResizer/ImageResizer/ImageResizer/Program.cs","1204347903697ebeb807a8801d0204ba30a2f95c","429","ImageResizer","Deeply nested standalone sample utility with its own solution."
"ImageResizer/ImageResizer/ImageResizer/ImageResizer/Properties/AssemblyInfo.cs","_Quarantine/UnusedProjects_2026-08-11/Files/ImageResizer/ImageResizer/ImageResizer/ImageResizer/Properties/AssemblyInfo.cs","847f2fbedfbc01f90f896db25d7119ecd4779ff5","1559","ImageResizer","Deeply nested standalone sample utility with its own solution."
"Libraries/CBaseControlsLibrary/LegacyProjects/gTimePickerControl.vbproj","_Quarantine/UnusedProjects_2026-08-11/Files/Libraries/CBaseControlsLibrary/LegacyProjects/gTimePickerControl.vbproj","78fb367f4fa9ebbe76d5035027af7bb8d41c107b","8067","Libraries/CBaseControlsLibrary/LegacyProjects","Explicitly named legacy project metadata; no active includes."
"Libraries/FlexibleMessageBox/WindowsFormsApp1/App.config","_Quarantine/UnusedProjects_2026-08-11/Files/Libraries/FlexibleMessageBox/WindowsFormsApp1/App.config","56efbc7b5f15b5166cc89dae0406895b57de0b67","189","Libraries/FlexibleMessageBox/WindowsFormsApp1","Generic standalone Windows Forms sample."
"Libraries/FlexibleMessageBox/WindowsFormsApp1/Form1.cs","_Quarantine/UnusedProjects_2026-08-11/Files/Libraries/FlexibleMessageBox/WindowsFormsApp1/Form1.cs","4bf9a054a54041e2a07f7e8a2147f9fb0562465d","203","Libraries/FlexibleMessageBox/WindowsFormsApp1","Generic standalone Windows Forms sample."
"Libraries/FlexibleMessageBox/WindowsFormsApp1/Form1.Designer.cs","_Quarantine/UnusedProjects_2026-08-11/Files/Libraries/FlexibleMessageBox/WindowsFormsApp1/Form1.Designer.cs","f77885fcbd59ffb2842d2159efc286cea0e81a81","1246","Libraries/FlexibleMessageBox/WindowsFormsApp1","Generic standalone Windows Forms sample."
"Libraries/FlexibleMessageBox/WindowsFormsApp1/Program.cs","_Quarantine/UnusedProjects_2026-08-11/Files/Libraries/FlexibleMessageBox/WindowsFormsApp1/Program.cs","31ec43465b02dbc518c74dba1aa780d735e54a89","453","Libraries/FlexibleMessageBox/WindowsFormsApp1","Generic standalone Windows Forms sample."
"Libraries/FlexibleMessageBox/WindowsFormsApp1/Properties/AssemblyInfo.cs","_Quarantine/UnusedProjects_2026-08-11/Files/Libraries/FlexibleMessageBox/WindowsFormsApp1/Properties/AssemblyInfo.cs","069b8f1495f6d53ed02a6c696fdc1c94b0e564b5","1399","Libraries/FlexibleMessageBox/WindowsFormsApp1","Generic standalone Windows Forms sample."
"Libraries/FlexibleMessageBox/WindowsFormsApp1/Properties/Resources.Designer.cs","_Quarantine/UnusedProjects_2026-08-11/Files/Libraries/FlexibleMessageBox/WindowsFormsApp1/Properties/Resources.Designer.cs","b21d543f524cf2cb31f93353b0f82b9fa11c645d","2862","Libraries/FlexibleMessageBox/WindowsFormsApp1","Generic standalone Windows Forms sample."
"Libraries/FlexibleMessageBox/WindowsFormsApp1/Properties/Resources.resx","_Quarantine/UnusedProjects_2026-08-11/Files/Libraries/FlexibleMessageBox/WindowsFormsApp1/Properties/Resources.resx","af7dbebbacef595e3089c01c05671016c21a8304","5612","Libraries/FlexibleMessageBox/WindowsFormsApp1","Generic standalone Windows Forms sample."
"Libraries/FlexibleMessageBox/WindowsFormsApp1/Properties/Settings.Designer.cs","_Quarantine/UnusedProjects_2026-08-11/Files/Libraries/FlexibleMessageBox/WindowsFormsApp1/Properties/Settings.Designer.cs","438df21381ac484a2b9663978736c524d8e8f3bf","1103","Libraries/FlexibleMessageBox/WindowsFormsApp1","Generic standalone Windows Forms sample."
"Libraries/FlexibleMessageBox/WindowsFormsApp1/Properties/Settings.settings","_Quarantine/UnusedProjects_2026-08-11/Files/Libraries/FlexibleMessageBox/WindowsFormsApp1/Properties/Settings.settings","39645652af62950ebf3b28ec3a5400dcec30b1c4","249","Libraries/FlexibleMessageBox/WindowsFormsApp1","Generic standalone Windows Forms sample."
"Libraries/FlexibleMessageBox/WindowsFormsApp1/WindowsFormsApp1.csproj","_Quarantine/UnusedProjects_2026-08-11/Files/Libraries/FlexibleMessageBox/WindowsFormsApp1/WindowsFormsApp1.csproj","d21bbd7a6ee3b1adb8997541578f294069c7c032","3503","Libraries/FlexibleMessageBox/WindowsFormsApp1","Generic standalone Windows Forms sample."
"Libraries/GlobalFuncNSubxxxx/CalendarUtilities.vb","_Quarantine/UnusedProjects_2026-08-11/Files/Libraries/GlobalFuncNSubxxxx/CalendarUtilities.vb","63fd659c502f17c337bbd32b2c45618ae697334f","2126","Libraries/GlobalFuncNSubxxxx","Clearly obsolete duplicate-name library tree."
"Libraries/GlobalFuncNSubxxxx/Class1.vb","_Quarantine/UnusedProjects_2026-08-11/Files/Libraries/GlobalFuncNSubxxxx/Class1.vb","875798b6bd8bb684475a867b231e05cb04bf38d6","37","Libraries/GlobalFuncNSubxxxx","Clearly obsolete duplicate-name library tree."
"Libraries/GlobalFuncNSubxxxx/Extensions.vb","_Quarantine/UnusedProjects_2026-08-11/Files/Libraries/GlobalFuncNSubxxxx/Extensions.vb","baf4266358d4eb0c8ed00663e5800ab547809468","1161","Libraries/GlobalFuncNSubxxxx","Clearly obsolete duplicate-name library tree."
