"Project","Classification","SelectedRoot","Reason","OtherSolutions","ReferencedByProjects"
"Accounts/ContainerConfig/ContainerConfig.csproj","Retained - ambiguous standalone project","","","",""
"BioTime.Reporting.ViewsOnly/BioTime.Reporting.ViewsOnly.sqlproj","Retained - ambiguous standalone project","","","",""
"BusinessLayer/BusinessObject/BusinessObject.vbproj","Retained - ambiguous standalone project","","","",""
"HIS.vbproj","Retained - ambiguous standalone project","","","",""
"HR/HR.vbproj","Retained - ambiguous standalone project","","","",""
"IGroup/IGroupClinic/IGroupClinic.sqlproj","Retained - belongs to another solution","","","IGroup/IGroupClinic/IGroupClinic.sln",""
"IGroupDb/IGroupDb.sqlproj","Retained - ambiguous standalone project","","","",""
"ImageResizer/ImageResizer/ImageResizer/ImageResizer/ImageResizer.csproj","Quarantined - clear isolated legacy/sample project","ImageResizer","Deeply nested standalone sample utility with its own solution.","ImageResizer/ImageResizer/ImageResizer/ImageResizer.sln",""
"KizenDbLive/KizenDbLive.sqlproj","Retained - ambiguous standalone project","","","",""
"Libraries/BgwGeneric/BgwGeneric.vbproj","Retained - referenced by another project","","","","Libraries/WaitDialog/WaitDialog.vbproj"
"Libraries/CBaseControlsLibrary/LegacyProjects/gTimePickerControl.vbproj","Quarantined - clear isolated legacy/sample project","Libraries/CBaseControlsLibrary/LegacyProjects","Explicitly named legacy project metadata; no active includes.","",""
"Libraries/CButtonLib/CButtonLib.vbproj","Retained - ambiguous standalone project","","","",""
"Libraries/CustomComboBox/CustomComboBox.csproj","Retained - ambiguous standalone project","","","",""
"Libraries/EnumLocalization/EnumLocalization.vbproj","Retained - ambiguous standalone project","","","",""
"Libraries/EventAggregator/EventAggregator.vbproj","Retained - ambiguous standalone project","","","",""
"Libraries/FlexibleMessageBox/WindowsFormsApp1/WindowsFormsApp1.csproj","Quarantined - clear isolated legacy/sample project","Libraries/FlexibleMessageBox/WindowsFormsApp1","Generic standalone Windows Forms sample.","",""
"Libraries/FormPreparer/FormPreparer.vbproj","Retained - ambiguous standalone project","","","",""
"Libraries/GenericBackgroundWorker/GenericBackgroundWorker.vbproj","Retained - ambiguous standalone project","","","",""
"Libraries/GlobalFuncNSub/NumberToWord-VB.vbproj","Retained - ambiguous standalone project","","","",""
"Libraries/GlobalFuncNSubxxxx/GlobalFuncNSubxss.vbproj","Quarantined - clear isolated legacy/sample project","Libraries/GlobalFuncNSubxxxx","Clearly obsolete duplicate-name library tree.","",""
"Libraries/HelperLibraries/NumberToWord/NumberToWord.csproj","Retained - ambiguous standalone project","","","",""
"Libraries/HelperLibraries/NumberToWord-VB/NumberToWord-VB.vbproj","Retained - ambiguous standalone project","","","",""
"Libraries/Image/ReadingImagesFromSqlServer.vbproj","Quarantined - clear isolated legacy/sample project","Libraries/Image","Standalone ReadingImagesFromSqlServer sample with its own solution.","Libraries/Image/ReadingImagesFromSqlServer.sln",""
"Libraries/Interfaces/LocalInterfaces.vbproj","Retained - ambiguous standalone project","","","",""
"Libraries/Libraries.vbproj","Retained - ambiguous standalone project","","","",""
"Libraries/MessagingLibrary/Demo_For_FlexibleMessageBox/Demo_For_FlexibleMessageBox.csproj","Quarantined - clear isolated legacy/sample project","Libraries/MessagingLibrary/Demo_For_FlexibleMessageBox","Explicitly named demo application.","Libraries/MessagingLibrary/Demo_For_FlexibleMessageBox.sln",""
"Libraries/TimePicker - Copy/gTimePickerControl/gTimePickerControl.vbproj","Quarantined - clear isolated legacy/sample project","Libraries/TimePicker - Copy","Explicit copy of a standalone control and test solution.","Libraries/TimePicker - Copy/gTimePickerControl.sln","Libraries/TimePicker - Copy/gTimePickerTestForm/gTimePickerTestForm.vbproj"
"Libraries/TimePicker - Copy/gTimePickerTestForm/gTimePickerTestForm.vbproj","Quarantined - clear isolated legacy/sample project","Libraries/TimePicker - Copy","Explicit copy of a standalone control and test solution.","Libraries/TimePicker - Copy/gTimePickerControl.sln",""
"Libraries/TimePicker/gTimePickerControl/gTimePickerControl.vbproj","Retained - belongs to another solution","","","Libraries/TimePicker/gTimePickerControl.sln",""
"Libraries/TimePicker/gTimePickerTestForm/gTimePickerTestForm.vbproj","Retained - belongs to another solution","","","Libraries/TimePicker/gTimePickerControl.sln",""
"Libraries/Translations/Translations.vbproj","Retained - ambiguous standalone project","","","",""
"Libraries/WaitDialog/WaitDialog.vbproj","Retained - ambiguous standalone project","","","",""
"Libraries/WaitDisplay/WaitDisplay.vbproj","Retained - ambiguous standalone project","","","",""
"Libraries/WaitForWnd/WaitForWnd.vbproj","Retained - ambiguous standalone project","","","",""
"Libraries/WaitWindow/WaitWindow.vbproj","Retained - ambiguous standalone project","","","",""
"Libraries/WaitX/WaitX.vbproj","Retained - ambiguous standalone project","","","",""
"Libraries/WindowsApplication1/WindowsApplication1.csproj","Retained - belongs to another solution","","","Libraries/MessageBoxManager.sln",""
"Libraries/WindowsApplication2/WindowsApplication2.csproj","Retained - belongs to another solution","","","Libraries/MessageBoxManager.sln",""
"Libraries/WinFormUtils/WinFormUtils.vbproj","Retained - ambiguous standalone project","","","",""
"PatientImagesDatabase/PatientImagesDatabase.sqlproj","Retained - ambiguous standalone project","","","",""
"PresentationLayer/PresentationLayer.vbproj","Retained - ambiguous standalone project","","","",""
"QrDrugScanner/QrDrugScanner/QrDrugScanner.vbproj","Retained - belongs to another solution","","","QrDrugScanner/QrDrugScanner.sln",""
